OBJECTID *,Shape *,Join_Count,TARGET_FID,city,name,holc_id,holc_grade,UNNOX,UNSO2,UNPM25,Shape_Length,Shape_Area
1,Polygon,0,1,Birmingham,Mountain Brook Estates and Country Club Gardens (outside city limits),A1,A,,,,17957.20178,4751180.255
2,Polygon,0,2,Birmingham,"Redmont Park, Rockridge Park, Warwick Manor, and southern portion of Milner Heights",A2,A,,,,10126.03481,2667053.08
3,Polygon,0,3,Birmingham,"Colonial Hills, Pine Crest (outside city limits)",A3,A,,,,5155.208352,1241921.15
4,Polygon,0,4,Birmingham,"Grove Park, Hollywood, Mayfair, and Edgewood sections of Home-wood, Alabama (an incorporated community)",B1,B,,,,14854.33617,4536718.552
5,Polygon,0,5,Birmingham,Best section of Woodlawn Highlands,B10,B,,,,1863.065959,158420.9832
6,Polygon,0,6,Birmingham,College Hills,B11,B,,,,2539.494601,449959.3247
7,Polygon,0,7,Birmingham,Fairfield Highlands,B12,B,,,,5457.585921,767420.9081
8,Polygon,0,8,Birmingham,Red Acres,B13,B,,,,3335.566577,432076.8474
9,Polygon,0,9,Birmingham,Roebuck Springs (outside of city limits of Birmingham),B14,B,,,,5859.921983,1646251.016
10,Polygon,0,10,Birmingham,Better part of Crestline Heights (outside of city limits),B15,B,,,,1688.140106,144492.4486
11,Polygon,0,11,Birmingham,White dairy section (outside city limits),B16,B,,,,2000.727698,136674.9091
12,Polygon,0,12,Birmingham,Forrest Park,B2,B,,,,8086.321549,1925618.793
13,Polygon,0,13,Birmingham,First Addition to South Highlands,B3,B,,,,3933.008398,490133.4578
14,Polygon,0,14,Birmingham,Lakeview Park (outside city limits),B4,B,,,,4280.205435,500424.9986
15,Polygon,0,15,Birmingham,"Highland Avenue, Milner Heights, and Milner Crescent",B5,B,,,,8032.618523,1363383.024
16,Polygon,0,16,Birmingham,"Bush Hills, Ridgewood Park, Owenton-Ensley Highlands, Virginia Heights, and Highland Lake Company Surveys",B6,B,,,,5739.460136,1095657.8
17,Polygon,0,17,Birmingham,Arlington,B7,B,,,,1938.108004,224120.6133
18,Polygon,0,18,Birmingham,"Belview Heights, Central Park Highlands",B8,B,,,,2736.917802,415366.821
19,Polygon,0,19,Birmingham,Howard College Estates,B9,B,,,,2025.088582,179076.3686
20,Polygon,0,20,Birmingham,"Norwood, Druid Hill, Walnut Hill",C1,C,,,,7338.805453,1224065.947
21,Polygon,0,21,Birmingham,Avondale and Avonwood,C10,C,,,,7687.599516,925403.8178
22,Polygon,0,22,Birmingham,"South side (west of 20th St.) Glen Iris, Idlewild, Glenwild",C11,C,,,,6947.057677,2354775.412
23,Polygon,0,23,Birmingham,"Edgemont section of Homewood, Ala. (an incorporated community)",C12,C,,,,7778.749434,1670968.344
24,Polygon,0,24,Birmingham,Northeastern portion of Homewood (an incorporated community),C13,C,,,,3521.069664,408026.9301
25,Polygon,0,25,Birmingham,Outlying portions of Ensley Highlands from Ensley Ave. northeast to McLendon Park including Fairview,C14,C,,,,13763.68946,2196476.7
26,Polygon,0,26,Birmingham,Birmingham - Ensley survey and Central Park south of Warrior Rd.,C15,C,,,,11991.19498,3119083.664
27,Polygon,0,27,Birmingham,Better residential section of Ensley and residential area around school in Fairfield (outside of city limits),C16,C,,,,9644.493974,1500667.989
28,Polygon,0,28,Birmingham,Interurban Heights & Forest Hills (outside of both Fairfield and Birmingham city limits),C17,C,,,,4654.243784,1097797.082
29,Polygon,0,29,Birmingham,Midfield (outside of city limits of both Fairfield and Birmingham),C18,C,,,,3521.488693,664722.2643
30,Polygon,0,30,Birmingham,West end Highlands and Springfield (outside city limits),C19,C,,,,4441.784217,713815.7424
31,Polygon,0,31,Birmingham,West End and Oakwood Place,C2,C,,,,9537.339646,2180339.705
32,Polygon,0,32,Birmingham,"Crestline Heights, Overlook, McElwain (all outside of city limits)",C20,C,,,,7621.794568,2711988.554
33,Polygon,0,33,Birmingham,Eastern section of Woodlawn and East Lake and Lakewood Park,C3,C,,,,20104.49875,7046299.609
34,Polygon,0,34,Birmingham,Better portion of Ensley Highlands,C4,C,,,,2870.403579,342245.7118
35,Polygon,0,35,Birmingham,Outlying portion of College Hills,C5,C,,,,6790.857071,729498.633
36,Polygon,0,36,Birmingham,Outlying portion of Woodlawn Highlands,C6,C,,,,6878.561808,1052160.257
