OBJECTID,Join_Count,state,city,name,holc_id,holc_grade,neighborho,miss_retire,miss_operate,miss_type,miss_np,Year_Of_Operation,new_type_coal_oil,new_type_ff,nameplate,ff_nameplate,co_nameplate,Peaker_plant,Shape_Length,Shape_Area
1,0,AL,Birmingham,Mountain Brook Estates and Country Club Gardens (outside city limits),A1,A,244,0,0,0,0,0,0,0,0,0,0,0,17957.20178,4751180.255
2,0,AL,Birmingham,"Redmont Park, Rockridge Park, Warwick Manor, and southern portion of Milner Heights",A2,A,193,0,0,0,0,0,0,0,0,0,0,0,10126.03481,2667053.08
3,0,AL,Birmingham,"Colonial Hills, Pine Crest (outside city limits)",A3,A,206,0,0,0,0,0,0,0,0,0,0,0,5155.208352,1241921.15
4,0,AL,Birmingham,"Grove Park, Hollywood, Mayfair, and Edgewood sections of Home-wood, Alabama (an incorporated community)",B1,B,203,0,0,0,0,0,0,0,0,0,0,0,14854.33617,4536718.552
5,1,AL,Birmingham,Best section of Woodlawn Highlands,B10,B,189,0,0,0,0,0,0,1,25,25,0,0,1863.065959,158420.9832
6,0,AL,Birmingham,College Hills,B11,B,219,0,0,0,0,0,0,0,0,0,0,0,2539.494601,449959.3247
7,0,AL,Birmingham,Fairfield Highlands,B12,B,227,0,0,0,0,0,0,0,0,0,0,0,5457.585921,767420.9081
8,0,AL,Birmingham,Red Acres,B13,B,202,0,0,0,0,0,0,0,0,0,0,0,3335.566577,432076.8474
9,1,AL,Birmingham,Roebuck Springs (outside of city limits of Birmingham),B14,B,187,0,0,0,0,0,0,1,25,25,0,0,5859.921983,1646251.016
10,0,AL,Birmingham,Better part of Crestline Heights (outside of city limits),B15,B,194,0,0,0,0,0,0,0,0,0,0,0,1688.140106,144492.4486
11,0,AL,Birmingham,White dairy section (outside city limits),B16,B,205,0,0,0,0,0,0,0,0,0,0,0,2000.727698,136674.9091
12,0,AL,Birmingham,Forrest Park,B2,B,191,0,0,0,0,0,0,0,0,0,0,0,8086.321549,1925618.793
13,0,AL,Birmingham,First Addition to South Highlands,B3,B,195,0,0,0,0,0,0,0,0,0,0,0,3933.008398,490133.4578
14,0,AL,Birmingham,Lakeview Park (outside city limits),B4,B,243,0,0,0,0,0,0,0,0,0,0,0,4280.205435,500424.9986
15,0,AL,Birmingham,"Highland Avenue, Milner Heights, and Milner Crescent",B5,B,192,0,0,0,0,0,0,0,0,0,0,0,8032.618523,1363383.024
16,0,AL,Birmingham,"Bush Hills, Ridgewood Park, Owenton-Ensley Highlands, Virginia Heights, and Highland Lake Company Surveys",B6,B,221,0,0,0,0,0,0,0,0,0,0,0,5739.460136,1095657.8
17,0,AL,Birmingham,Arlington,B7,B,229,0,0,0,0,0,0,0,0,0,0,0,1938.108004,224120.6133
18,0,AL,Birmingham,"Belview Heights, Central Park Highlands",B8,B,226,0,0,0,0,0,0,0,0,0,0,0,2736.917802,415366.821
19,1,AL,Birmingham,Howard College Estates,B9,B,186,0,0,0,0,0,0,1,25,25,0,0,2025.088582,179076.3686
20,0,AL,Birmingham,"Norwood, Druid Hill, Walnut Hill",C1,C,214,0,0,0,0,0,0,0,0,0,0,0,7338.805453,1224065.947
